Year,date,week,headcount,paid count,,cash taken,class time,venue,event,social
2013,03/12/13,12,28,28,,109.2,6pm,Sugden,Grading,
2013,05/12/13,,17,17,,66.3,8.30pm,Armitage,Grading,
2013,28/01/14,13,31,31,,120.9,6pm,Sugden,First Class,
2013,30/01/14,,18,18,,70.2,8.30pm,Armitage,,
2013,04/02/14,14,24,24,,93.6,6pm,Sugden,,
2013,06/02/14,,15,15,,58.5,8.30pm,Armitage,,
2013,11/02/14,15,20,20,,78,6pm,Sugden,,
2013,13/02/14,,16,16,,62.4,8.30pm,Armitage,,
2013,18/02/14,16,32,32,,124.8,6pm,Sugden,,
2013,20/02/14,,15,15,,58.5,8.30pm,Armitage,,
2014,25/02/14,17,23,23,,89.7,6pm,Sugden,,drinks
2014,27/02/14,,17,17,,66.3,8.30pm,Armitage,,
2014,04/03/14,18,21,21,,81.9,6pm,Sugden,,
2014,06/03/14,,17,17,,66.3,8.30pm,Armitage,,
2014,11/03/14,19,29,29,,113.1,6pm,Sugden,,
2014,13/03/14,,11,11,,42.9,8.30pm,Armitage,,
2014,18/03/14,20,27,27,,105.3,6pm,Sugden,,
2014,20/03/14,,18,18,,70.2,8.30pm,Armitage,,food
2014,25/03/14,21,24,24,,93.6,6pm,Sugden,,
2014,27/03/14,,13,13,,50.7,8.30pm,Armitage,,
2014,01/04/14,22,18,18,,70.2,6pm,Sugden,Grading,
2014,03/04/14,,14,14,,54.6,8.30pm,Armitage,Grading,
2014,29/04/14,23,16,16,,62.4,6pm,Sugden,First Class,
2014,13/05/14,,11,11,,42.9,8.30pm,Armitage,,
2014,06/05/14,24,15,15,,58.5,5.30pm,Sugden,time change,
2014,14/05/14,,9,9,,35.1,8.30pm,Armitage,,
2014,13/05/14,25,11,11,,42.9,6pm,Sugden,,
2014,15/05/14,,8,8,,31.2,8.30pm,Academy 2,,
2014,20/05/14,26,10,10,,39,6pm,Academy 2,,
2014,22/05/14,,8,8,,31.2,8.30pm,Room 8,,
2014,27/05/14,27,12,12,,46.8,6pm,Academy 2,,
2014,29/05/14,,9,9,,35.1,8.30pm,Academy 2,,
2014,03/06/14,28,7,7,,27.3,6pm,Sugden,,
2014,23/09/14,1,100,,,0,6pm,Sugden,First Class,
2014,25/09/14,,55,,,0,7pm,Trinity,,
2014,30/09/14,2,47,,,183.3,6pm,Sugden,,
2014,02/10/14,,62,,,241.8,7pm,Trinity,,
2014,07/10/14,3,45,,,175.5,6pm,Sugden,,
2014,09/10/14,,44,,,171.6,7pm,Trinity,,
2014,14/10/14,4,52,,,202.8,6pm,Sugden,,
2014,16/10/14,,38,,,148.2,7pm,Trinity,,
2014,21/10/14,5,40,40,,156,6pm,Sugden,,
2014,23/10/14,,32,32,,124.8,7pm,Trinity,,
2014,28/10/14,6,30,30,,117,6pm,Sugden,,
2014,30/10/14,,23,23,,89.7,7pm,Trinity,,
2014,04/11/14,7,47,47,,183.3,6pm,Sugden,,
2014,06/11/14,,28,28,,109.2,7pm,Trinity,,
2014,11/11/14,8,44,44,,171.6,6pm,Sugden,,
2014,13/11/14,,33,33,,128.7,8pm,Trinity,parents evening,
2014,18/11/14,9,45,45,,175.5,6pm,Sugden,,
2014,20/11/14,,29,29,,113.1,7pm,Trinity,,
2014,25/11/14,10,42,42,,163.8,6pm,Sugden,,
2014,27/11/14,,28,28,,109.2,7pm,Trinity,,
2014,02/12/14,11,33,33,,128.7,6pm,Sugden,,
2014,04/12/14,,45,45,,175.5,7pm,Trinity,Grading,
2014,09/12/14,12,29,29,,113.1,6pm,Sugden,,
2014,11/12/14,,42,42,,163.8,7pm,Trinity,No Class,
2014,27/01/15,13,5,5,,19.5,6pm,Sugden,First Class,
2014,29/01/15,,16,16,,62.4,7pm,Trinity,,
2015,03/02/15,14,49,49,,191.1,6pm,Sugden,,
2015,05/02/15,,25,25,,97.5,7pm,Trinity,,
2015,10/02/15,15,41,41,,159.9,6pm,Sugden,,
2015,12/02/15,,23,23,,89.7,7pm,Trinity,,
2015,17/02/15,16,41,41,,159.9,6pm,Sugden,,
2015,19/02/15,,26,26,,101.4,7pm,Trinity,,
2015,24/02/15,17,26,26,,101.4,6pm,Sugden,,
2015,26/02/15,,22,22,,85.8,7pm,Trinity,,
2015,03/03/15,18,41,41,,159.9,6pm,Sugden,,
2015,05/03/15,,16,16,,62.4,7pm,Trinity,,
2015,10/03/15,19,37,37,,144.3,6pm,Sugden,,
2015,12/03/15,,29,29,,113.1,7pm,Trinity,,
2015,17/03/15,20,41,41,,159.9,6pm,Sugden,,
2015,19/03/15,,23,23,,89.7,7pm,Trinity,Grading,
2015,14/04/15,21,33,33,,128.7,6pm,Sugden,First Class,
2015,16/04/15,,5,5,,19.5,7pm,Trinity,,
2015,21/04/15,22,22,22,,85.8,6pm,Sugden,,
2015,23/04/15,,21,21,,81.9,6pm,Trinity,Time Change,
2015,28/04/15,23,25,25,,97.5,6pm,Sugden,,
2015,30/04/15,,11,11,,42.9,7pm,Trinity,,
2015,05/05/15,24,29,29,,113.1,6pm,Sugden,,
2015,07/05/15,,13,13,,50.7,7pm,Trinity,,
2015,12/05/15,25,27,27,,105.3,6pm,Sugden,,
2015,14/05/15,,14,14,,54.6,7pm,Trinity,,
2015,19/05/15,26,21,21,,81.9,7pm,Room 8,,
2015,21/05/15,,14,14,,54.6,6pm,Trinity,,
2015,26/05/15,27,19,19,,74.1,7.30pm,Room 8,,
2015,28/05/15,,13,13,,50.7,6pm,Sugden,,
2015,02/06/15,28,9,9,,35.1,6pm,Room 8 ,,
2015,04/06/15,,7,7,,27.3,6pm,Trinity,Grading,
2015,29/09/2015,1,150,0,,,6pm,Sugden,First Class,
2015,01/10/2015,,120,0,,,7pm,Trinity,,
2015,06/10/2015,2,77,77,,£300.30,6pm,Sugden,,
2015,08/10/2015,,68,67,,£262.20,7pm,Trinity,,
2015,13/10/2015,3,93,78,,£304.20,6pm,Sugden,,
2015,15/10/2015,,52,50,,£195.00,7pm,Trinity,,
2015,20/10/2015,4,75,66,,£257.40,6pm,Sugden,,
2015,22/10/2015,,59,53,,£206.70,7pm,Trinity,,
2015,27/10/2015,5,48,41,,£159.90,6pm,Sugden,,
2015,29/10/2015,,42,38,,£148.20,7pm,Trinity,,
2015,03/11/2015,6,34,32,,£124.80,6pm,Sugden,Reading Week,
2015,05/11/2015,,22,16,,£62.40,7pm,Trinity,Reading Week,
2015,10/11/2015,7,69,59,,£230.10,6pm,Sugden,,
2015,12/11/2015,,0,0,,£0.00,7pm,Trinity,No Class,
2015,17/11/2015,8,59,47,,£183.30,6pm,Sugden,,
2015,19/11/2015,,45,35,,£136.50,7pm,Trinity,,
2015,24/11/2015,9,44,38,,£148.20,6pm,Sugden,,
2015,26/11/2015,,52,50,,£195.00,7pm,Trinity,,
2015,01/12/2015,10,49,36,,£140.40,6pm,Sugden,,
2015,03/12/2015,,47,37,,£144.30,7pm,Trinity,,
2015,08/12/2015,11,55,44,,£171.60,6pm,Sugden,,
2015,10/12/2015,,69,4,,£15.60,7pm,Trinity,Grading,
2016,12/12/2015,12,0,0,,£0.00,6pm,Sugden,No Class,
2016,28/01/2016,,24,24,,£93.60,7pm,Trinity,First Class,
2016,02/02/2016,13,51,38,,£149.00,6pm,Sugden,,
2016,04/02/2016,,31,39,,£152.10,7pm,Trinity,,
2016,09/02/2016,14,51,31,,£120.90,6pm,Sugden,,
2016,11/02/2016,,48,28,,£108.00,7pm,Trinity,,
2016,16/02/2016,15,47,36,,£140.40,6pm,Sugden,,
2016,18/02/2016,,38,34,,£132.60,7pm,Trinity,,
2016,23/02/2016,16,40,35,,£136.50,6pm,Sugden,,
2016,25/02/2016,,43,40,,£156.00,7pm,Trinity,,
2016,01/03/2016,17,48,28,,£109.20,6pm,Sugden,,
2016,03/03/2016,,45,38,,£148.20,7pm,Trinity,,
2016,08/03/2016,18,40,36,,£140.40,6pm,Sugden,,
2016,10/03/2016,,41,36,,£140.40,7pm,Trinity,,
2016,15/03/2016,19,43,35,,£136.50,6pm,Sugden,,
2016,17/03/2016,,41,2,,£7.20,7pm,Trinity,Grading,
2016,12/04/2016,20,50,27,,£105.30,6pm,Sugden,,
2016,14/04/2016,,44,21,,£81.90,7pm,Trinity,,
2016,19/04/2016,21,33,25,,£97.50,6pm,Sugden,,
2016,21/04/2016,,24,23,,£89.00,7pm,Trinity,,
2016,26/04/2016,22,28,33,,£128.70,6pm,Sugden,,
2016,28/04/2016,,31,20,,£78.00,8pm,Trinity,Time Change,
2016,03/05/2016,23,33,31,,£120.90,6pm,Sugden,,
2016,05/05/2016,,26,26,,£101.40,7pm,Trinity,,
2016,10/05/2016,24,30,31,,£119.00,6pm,Sugden,,
2016,12/05/2016,,27,27,,£105.30,7pm,Trinity,,
2016,17/05/2016,25,29,29,,£113.10,6pm,Sugden,,
2016,19/05/2016,,17,17,,£66.30,7pm,Trinity,,
2016,24/05/2016,26,29,29,,£113.10,6pm,Academy2,Time Change,
2016,26/05/2016,,33,0,,£0.00,8pm,Trinity,Grading,
2016,31/05/2016,27,17,17,,£66.30,6pm,Academy2,Time Change,
2016,02/06/2016,,,0,,£0.00,7pm,,,
2016,27/09/16,1,230,0,,0,6.30pm,Sugden,First Class,
2016,29/09/16,,160,0,,0,7pm,Trinity,,
2016,04/10/16,2,101,72,,280.8,6.30pm,Sugden,,
2016,06/10/16,,80,67,,261.3,7pm,Trinity,,
2016,11/10/16,3,128,112,,436.8,6.30pm,Sugden,,
2016,13/10/16,,71,61,,237.9,7pm,Trinity,,
2016,18/10/16,4,103,82,,319.8,6.30pm,Sugden,,
2016,20/10/16,,74,56,,218.4,7pm,Trinity,,
2016,25/10/16,5,81,62,,241.8,6.30pm,Sugden,,
2016,27/10/16,,47,36,,140.4,7pm,Trinity,,
2016,01/11/16,6,48,40,,156,6.30pm,Sugden,,
2016,03/11/16,,27,20,,78,7pm,Trinity,,
2016,08/11/16,7,67,56,,218.4,6.30pm,Sugden,,
2016,10/11/16,,0,0,,0,7pm,Trinity,No Class,
2016,15/11/16,8,76,60,,234,6.30pm,Sugden,,
2016,17/11/16,,46,43,,167.7,7pm,Trinity,,
2016,22/11/16,9,78,66,,257.4,6.30pm,Sugden,,
2016,24/11/16,,45,38,,148.2,7pm,Trinity,,
2016,29/11/16,10,66,54,,210.6,6.30pm,Sugden,,
2016,01/12/16,,38,33,,128.7,7pm,Trinity,,
2016,06/12/16,11,0,0,,0,6.30pm,Sugden,Grading,
2016,08/12/16,,0,0,,0,7pm,Trinity,,
2016,10/01/17,13,28,28,,109.2,6.30pm,Sugden,First Class,
2016,12/01/17,,15,12,,46.8,7pm,Trinity,,
2016,17/01/17,14,23,22,,85.8,6.30pm,Sugden,,
2016,19/01/17,,25,20,,78,7pm,Trinity,,
2017,24/01/17,15,37,29,,113.1,6.30pm,Sugden,,
2017,26/01/17,,,0,,0,7pm,Trinity,,
2017,31/01/17,16,75,68,,265.2,6.30pm,Sugden,,
2017,02/02/17,,37,37,,144.3,7pm,Trinity,,
2017,07/02/17,17,51,51,,198.9,6.30pm,Sugden,,
2017,09/02/17,,46,38,,148.2,7pm,Trinity,,
2017,14/02/17,18,63,58,,226.2,6.30pm,Sugden,,
2017,16/02/17,,42,36,,140.4,7pm,Trinity,,
2017,21/02/17,19,65,58,,226.2,6.30pm,Sugden,,
2017,23/02/17,,36,30,,117,7pm,Trinity,,
2017,28/02/17,20,68,58,,226.2,6.30pm,Sugden,,
2017,02/03/17,,41,32,,124.8,7pm,Trinity,,
2017,07/03/17,21,59,47,,183.3,6.30pm,Sugden,,
2017,09/03/17,,34,34,,132.6,7pm,Trinity,,
2017,14/03/17,22,60,49,,191.1,6.30pm,Sugden,,
2017,16/03/17,,39,22,,85.8,7pm,Trinity,,
2017,21/03/17,23,31,27,,105.3,6.30pm,Sugden,Grading,
2017,23/03/17,,29,24,,93.6,7pm,Trinity,,
2017,28/03/17,24,40,25,,97.5,6.30pm,Sugden,,
2017,30/03/17,,25,22,,85.8,7pm,Trinity,,
2017,25/04/17,25,41,34,,132.6,6.30pm,Sugden,First Class,
2017,27/04/17,,26,24,,93.6,7pm,Trinity,,
2017,02/05/17,26,44,34,,132.6,6.30pm,Sugden,,
2017,04/05/17,,20,20,,78,7pm,Trinity,,
2017,09/05/17,27,38,38,,148.2,6.30pm,Sugden,,
2017,11/05/17,,16,16,,62.4,7pm,Trinity,,
2017,16/05/17,28,29,29,,113.1,6.30pm,Sugden,,
2017,18/05/17,,26,26,,101.4,7pm,Trinity,,
2017,23/05/17,29,0,0,,0,6.30pm,Sugden,Grading,
2017,25/05/17,,0,0,,0,7pm,Trinity,Grading,
2017,30/05/17,30,3,3,,11.7,6.30pm,Sugden,,
2017,01/06/17,,9,9,,35.1,7pm,Trinity,,
2017,26/09/17,1,200,0,,0,6.30pm,Sugden,First Class,
2017,28/09/17,,120,0,,0,6.30pm,Dance House,,
2017,03/10/17,2,155,154,,600.6,6.30pm,Sugden,,
2017,05/10/17,,88,67,,261.3,6.30pm,Dance House,,
2017,10/10/17,3,144,121,,471.9,6.30pm,Sugden,,
2017,12/10/17,,92,87,,339.3,6.30pm,Dance House,,
2017,17/10/17,4,131,89,,347.1,6.30pm,Sugden,,
2017,19/10/17,,84,63,,245.7,6.30pm,Dance House,,
2017,24/10/17,5,114,84,,327.6,6.30pm,Sugden,,
2017,26/10/17,,67,54,,210.6,6.30pm,Dance House,,
2017,31/10/17,6,65,49,,191.1,6.30pm,Sugden,Reading week,
2017,02/11/17,,60,45,,175.5,6.30pm,Dance House,Reading week,
2017,07/11/17,7,99,82,,319.8,6.30pm,Sugden,,
2017,09/11/17,,74,62,,241.8,6.30pm,Dance House,,
2017,14/11/17,8,94,71,,276.9,6.30pm,Sugden,,
2017,16/11/17,,65,49,,191.1,6.30pm,Dance House,,
2017,21/11/17,9,75,72,,280.8,6.30pm,Sugden,,
2017,23/11/17,,70,50,,195,6.30pm,Dance House,,
2017,28/11/17,10,92,70,,273,6.30pm,Sugden,,
2017,30/11/17,,74,55,,214.5,6.30pm,Dance House,,
2017,05/12/17,11,0,10,,39,6.30pm,Sugden,Grading,
