,Forecasted,HeadCount,Square Error,mse,RMSE,difference
2018-10-07,278.41061986662174,312,1128.246457744586,1128.246457744586,33.589380133378256,10.765826965826363
2018-10-14,253.73281113963793,226,769.1088137068257,948.6776357257058,30.800610963513464,-12.271155371521209
2018-10-21,212.50790889300774,207,30.337060373673722,642.5641106083618,25.34884830930908,-2.660825552177651
2018-10-28,179.00446072128253,172,49.06246999598974,494.18870045526876,22.230355383017805,-4.072360884466585
2018-11-04,122.75288620109481,102,430.6822856755914,481.4874174993332,21.94282154827253,-20.34596686381844
2018-11-11,167.23975291478575,189,473.5083532095751,480.1575734510402,21.912498110691082,11.513358246145105
2018-11-18,162.97471013671588,174,121.55701656943546,428.9289224679538,20.71059927833943,6.336373484646043
2018-11-25,148.73714383800984,153,18.171942657817457,377.58429999168675,19.431528503740687,2.7861804980327824
2018-12-02,167.99528523556648,144,575.7737135361949,399.60534594107656,19.99013121370334,-16.663392524698946
2018-12-09,-5.4700337006871695,78,6967.246525993852,1056.3694639463542,32.501837854902206,107.01286371882969
2018-12-16,18.811913249724103,61,1779.834663648805,1122.139027555668,33.49834365391322,69.16079795127197
2018-12-23,15.503832935138654,0,240.36883568069004,1048.6581782327532,32.382992113650545,-inf
2018-12-30,5.3783796965603446e-14,0,2.8926968160372545e-27,967.9921645225414,31.112572451061347,-inf
2019-01-06,-6.226939847659683e-28,0,3.877477986637199e-55,898.8498670566456,29.980824989593692,inf
2019-01-13,9.48190626972331e-27,40,1600.0,945.5932092528692,30.75049933339082,100.0
2019-01-20,42.0202197738906,17,626.0113975337863,925.6193460204265,30.4239929335455,-147.17776337582706
2019-01-27,46.300377724182205,22,590.5083575379307,905.9069349332209,30.098287907009276,-110.45626238264639
2019-02-03,52.05449826017405,117,4217.918196237734,1089.9075605612495,33.013748053822205,55.50897584600508
2019-02-10,154.9800990105241,128,727.9257426176836,1070.8558859326408,32.72393445068366,-21.078202351971953
2019-02-17,152.9438095918299,94,3474.372689197899,1191.0317260959037,34.51132750410948,-62.70618041684032
2019-02-24,111.24453598518187,116,22.614437996230173,1135.3928076149668,33.695590328928304,4.099537943808733
2019-03-03,105.63105467015919,104,2.6603393370480957,1083.9049681477888,32.92271204120021,-1.568321798229988
2019-03-10,119.0521493288978,101,325.88009539282524,1050.9473649845295,32.41831835528378,-17.873415177126535
2019-03-17,128.49247281629792,113,240.01671396372998,1017.1585878586629,31.892923789747826,-13.71015293477692
2019-03-24,-4.766883304339737,90,8980.762171218346,1335.7027311930503,36.547267082410556,105.29653700482193
2019-03-31,20.81108838721664,102,6591.639368868348,1537.8541403344077,39.215483425993966,79.59697216939546
2019-04-07,26.28241602480218,122,9161.855882049045,1820.2245752127276,42.66408999630401,78.45703604524411
2019-04-14,35.586089152290995,0,1266.3697411548028,1800.4440454249448,42.43163967400912,-inf
2019-04-21,89.99999999999979,0,8099.999999999962,2017.6701128240834,44.9184829755423,-inf
2019-04-28,54.046498340760735,22,1026.9780559043804,1984.6470442600933,44.549377596775614,-145.66590154891244
2019-05-05,73.66517638778214,84,106.80857909565583,1924.0716098999499,43.86424067392424,12.3033614431165
2019-05-12,72.29179476184038,62,105.92103941984506,1867.2544045724467,43.21173919865349,-16.599668970710287
2019-05-19,73.58113736101079,38,1266.0173359031178,1849.035099461255,43.00040813133353,-93.63457200265998
2019-05-26,47.83547760135861,36,140.0785300522614,1798.7716709492256,42.411928404037766,-32.876326670440584
2019-06-02,50.38189912370385,40,107.78382941476283,1750.4577326196697,41.838471920227555,-25.954747809259633
