AcademicYear,Date,Week,HeadCount,PaidCount,CashTaken,ClassTime,Venue,Event,Social
2012,28/05/13,26,10,10,39,6pm,Sugden,,
2012,30/05/13,26,12,12,46.8,6.30pm,Sugden,,
2012,04/06/13,27,13,13,50.7,6pm,Sugden,,
2012,06/06/13,27,13,13,50.7,6.30pm,Sugden,Grading,
2013,17/09/13,1,0,0,0,6pm,Sugden,,
2013,19/09/13,1,40,0,0,8.30pm,Armitage,,
2013,24/09/13,2,35,35,136.5,6pm,Sugden,,
2013,26/09/13,2,29,29,113.1,8.30pm,Armitage,,drinks
2013,01/10/13,3,40,40,156,6pm,Sugden,,
2013,03/10/13,3,42,42,163.8,8.30pm,Armitage,,
2013,08/10/13,4,28,28,109.2,6pm,Sugden,,
2013,10/10/13,4,22,22,85.8,8.30pm,Armitage,,
2013,15/10/13,5,39,39,152.1,6pm,Sugden,,
2013,17/10/13,5,18,18,70.2,8.30pm,Armitage,,
2013,22/10/13,6,24,24,93.6,6pm,Sugden,,
2013,24/10/13,6,8,8,31.2,8.30pm,Armitage,,fight night (27th October)
2013,29/10/13,7,21,21,81.9,6pm,Sugden,Reading week,
2013,31/10/13,7,29,29,113.1,8.30pm,Armitage,Reading week,drinks
2013,05/11/13,8,24,24,93.6,6pm,Sugden,,
2013,07/11/13,8,22,22,85.8,8.30pm,Armitage,,
2013,12/11/13,9,28,28,109.2,6pm,Sugden,,
2013,14/11/13,9,13,13,50.7,8.30pm,Armitage,,
2013,19/11/13,10,28,28,109.2,6pm,Sugden,,
2013,21/11/13,10,18,18,70.2,8.30pm,Armitage,,
2013,26/11/13,11,30,30,117,6pm,Sugden,,
2013,28/11/13,11,13,13,50.7,8.30pm,Armitage,,drinks
2013,03/12/13,12,28,28,109.2,6pm,Sugden,Grading,
2013,05/12/13,12,17,17,66.3,8.30pm,Armitage,Grading,
2013,28/01/14,13,31,31,120.9,6pm,Sugden,First Class,
2013,30/01/14,13,18,18,70.2,8.30pm,Armitage,,
2013,04/02/14,14,24,24,93.6,6pm,Sugden,,
2013,06/02/14,14,15,15,58.5,8.30pm,Armitage,,
2013,11/02/14,15,20,20,78,6pm,Sugden,,
2013,13/02/14,15,16,16,62.4,8.30pm,Armitage,,
2013,18/02/14,16,32,32,124.8,6pm,Sugden,,
2013,20/02/14,16,15,15,58.5,8.30pm,Armitage,,
2013,25/02/14,17,23,23,89.7,6pm,Sugden,,drinks
2013,27/02/14,17,17,17,66.3,8.30pm,Armitage,,
2013,04/03/14,18,21,21,81.9,6pm,Sugden,,
2013,06/03/14,18,17,17,66.3,8.30pm,Armitage,,
2013,11/03/14,19,29,29,113.1,6pm,Sugden,,
2013,13/03/14,19,11,11,42.9,8.30pm,Armitage,,
2013,18/03/14,20,27,27,105.3,6pm,Sugden,,
2013,20/03/14,20,18,18,70.2,8.30pm,Armitage,,food
2013,25/03/14,21,24,24,93.6,6pm,Sugden,,
2013,27/03/14,21,13,13,50.7,8.30pm,Armitage,,
2013,01/04/14,22,18,18,70.2,6pm,Sugden,Grading,
2013,03/04/14,22,14,14,54.6,8.30pm,Armitage,Grading,
2013,29/04/14,23,16,16,62.4,6pm,Sugden,First Class,
2013,01/05/14,23,11,11,42.9,8.30pm,Armitage,,
2013,06/05/14,24,15,15,58.5,5.30pm,Sugden,time change,
2013,08/05/14,24,9,9,35.1,8.30pm,Armitage,,
2013,13/05/14,25,11,11,42.9,6pm,Sugden,,
2013,15/05/14,25,8,8,31.2,8.30pm,Academy 2,time change,
2013,20/05/14,26,10,10,39,6pm,Academy 2,time change,
2013,22/05/14,26,8,8,31.2,8.30pm,Room 8,time change,
2013,27/05/14,27,12,12,46.8,6pm,Academy 2,time change,
2013,29/05/14,27,9,9,35.1,8.30pm,Academy 2,time change,
2013,03/06/14,28,7,7,27.3,6pm,Sugden,,
2013,05/06/14,28,0,0,0,8.30pm,Academy 2,time change,
2014,23/09/14,1,100,0,0,6pm,Sugden,First Class,
2014,25/09/14,1,55,0,0,7pm,Trinity,,
2014,30/09/14,2,47,47,183.3,6pm,Sugden,,
2014,02/10/14,2,62,62,241.8,7pm,Trinity,,
2014,07/10/14,3,45,45,175.5,6pm,Sugden,,
2014,09/10/14,3,44,44,171.6,7pm,Trinity,,
2014,14/10/14,4,52,52,202.8,6pm,Sugden,,
2014,16/10/14,4,38,38,148.2,7pm,Trinity,,
2014,21/10/14,5,40,40,156,6pm,Sugden,,
2014,23/10/14,5,32,32,124.8,7pm,Trinity,,
2014,28/10/14,6,30,30,117,6pm,Sugden,,
2014,30/10/14,6,23,23,89.7,7pm,Trinity,,
2014,04/11/14,7,47,47,183.3,6pm,Sugden,,
2014,06/11/14,7,28,28,109.2,7pm,Trinity,,
2014,11/11/14,8,44,44,171.6,6pm,Sugden,,
2014,13/11/14,8,33,33,128.7,8pm,Trinity,parents evening,
2014,18/11/14,9,45,45,175.5,6pm,Sugden,,
2014,20/11/14,9,29,29,113.1,7pm,Trinity,,
2014,25/11/14,10,42,42,163.8,6pm,Sugden,,
2014,27/11/14,10,28,28,109.2,7pm,Trinity,,
2014,02/12/14,11,33,33,128.7,6pm,Sugden,,
2014,04/12/14,11,45,45,175.5,7pm,Trinity,Grading,
2014,09/12/14,12,29,29,113.1,6pm,Sugden,,
2014,11/12/14,12,42,42,163.8,7pm,Trinity,No Class,
2014,27/01/15,13,5,5,19.5,6pm,Sugden,First Class,
2014,29/01/15,13,16,16,62.4,7pm,Trinity,,
2014,03/02/15,14,49,49,191.1,6pm,Sugden,,
2014,05/02/15,14,25,25,97.5,7pm,Trinity,,
2014,10/02/15,15,41,41,159.9,6pm,Sugden,,
2014,12/02/15,15,23,23,89.7,7pm,Trinity,,
2014,17/02/15,16,41,41,159.9,6pm,Sugden,,
2014,19/02/15,16,26,26,101.4,7pm,Trinity,,
2014,24/02/15,17,26,26,101.4,6pm,Sugden,,
2014,26/02/15,17,22,22,85.8,7pm,Trinity,,
2014,03/03/15,18,41,41,159.9,6pm,Sugden,,
2014,05/03/15,18,16,16,62.4,7pm,Trinity,,
2014,10/03/15,19,37,37,144.3,6pm,Sugden,,
2014,12/03/15,19,29,29,113.1,7pm,Trinity,,
2014,17/03/15,20,41,41,159.9,6pm,Sugden,,
2014,19/03/15,20,23,23,89.7,7pm,Trinity,Grading,
2014,14/04/15,21,33,33,128.7,6pm,Sugden,First Class,
2014,16/04/15,21,5,5,19.5,7pm,Trinity,,
2014,21/04/15,22,22,22,85.8,6pm,Sugden,,
2014,23/04/15,22,21,21,81.9,6pm,Trinity,Time Change,
2014,28/04/15,23,25,25,97.5,6pm,Sugden,,
2014,30/04/15,23,11,11,42.9,7pm,Trinity,,
2014,05/05/15,24,29,29,113.1,6pm,Sugden,,
2014,07/05/15,24,13,13,50.7,7pm,Trinity,,
2014,12/05/15,25,27,27,105.3,6pm,Sugden,,
2014,14/05/15,25,14,14,54.6,7pm,Trinity,,
2014,19/05/15,26,21,21,81.9,7pm,Room 8,,
2014,21/05/15,26,14,14,54.6,6pm,Trinity,,
2014,26/05/15,27,19,19,74.1,7.30pm,Room 8,,
2014,28/05/15,27,13,13,50.7,6pm,Sugden,,
2014,02/06/15,28,9,9,35.1,6pm,Room 8 ,,
2014,04/06/15,28,7,7,27.3,6pm,Trinity,Grading,
2015,29/09/15,1,150,0,,6pm,Sugden,First Class,
2015,01/10/15,1,120,0,,7pm,Trinity,,
2015,06/10/15,2,77,77,300.3,6pm,Sugden,,
2015,08/10/15,2,68,67,262.2,7pm,Trinity,,
2015,13/10/15,3,93,78,304.2,6pm,Sugden,,
2015,15/10/15,3,52,50,195,7pm,Trinity,,
2015,20/10/15,4,75,66,257.4,6pm,Sugden,,
2015,22/10/15,4,59,53,206.7,7pm,Trinity,,
2015,27/10/15,5,48,41,159.9,6pm,Sugden,,
2015,29/10/15,5,42,38,148.2,7pm,Trinity,,
2015,03/11/15,6,34,32,124.8,6pm,Sugden,Reading Week,
2015,05/11/15,6,22,16,62.4,7pm,Trinity,Reading Week,
2015,10/11/15,7,69,59,230.1,6pm,Sugden,,
2015,12/11/15,7,0,0,0,7pm,Trinity,No Class,
2015,17/11/15,8,59,47,183.3,6pm,Sugden,,
2015,19/11/15,8,45,35,136.5,7pm,Trinity,,
2015,24/11/15,9,44,38,148.2,6pm,Sugden,,
2015,26/11/15,9,52,50,195,7pm,Trinity,,
2015,01/12/15,10,49,36,140.4,6pm,Sugden,,
2015,03/12/15,10,47,37,144.3,7pm,Trinity,,
2015,08/12/15,11,55,44,171.6,6pm,Sugden,,
2015,10/12/15,11,69,4,15.6,7pm,Trinity,Grading,
2015,12/12/15,12,0,0,0,6pm,Sugden,No Class,
2015,28/01/16,12,24,24,93.6,7pm,Trinity,First Class,
2015,02/02/16,13,51,38,149,6pm,Sugden,,
2015,04/02/16,13,31,39,152.1,7pm,Trinity,,
2015,09/02/16,14,51,31,120.9,6pm,Sugden,,
2015,11/02/16,14,48,28,108,7pm,Trinity,,
2015,16/02/16,15,47,36,140.4,6pm,Sugden,,
2015,18/02/16,15,38,34,132.6,7pm,Trinity,,
2015,23/02/16,16,40,35,136.5,6pm,Sugden,,
2015,25/02/16,16,43,40,156,7pm,Trinity,,
2015,01/03/16,17,48,28,109.2,6pm,Sugden,,
2015,03/03/16,17,45,38,148.2,7pm,Trinity,,
2015,08/03/16,18,40,36,140.4,6pm,Sugden,,
2015,10/03/16,18,41,36,140.4,7pm,Trinity,,
2015,15/03/16,19,43,35,136.5,6pm,Sugden,,
2015,17/03/16,19,41,2,7.2,7pm,Trinity,Grading,
2015,12/04/16,20,50,27,105.3,6pm,Sugden,,
2015,14/04/16,20,44,21,81.9,7pm,Trinity,,
2015,19/04/16,21,33,25,97.5,6pm,Sugden,,
2015,21/04/16,21,24,23,89,7pm,Trinity,,
2015,26/04/16,22,28,33,128.7,6pm,Sugden,,
2015,28/04/16,22,31,20,78,8pm,Trinity,Time Change,
2015,03/05/16,23,33,31,120.9,6pm,Sugden,,
2015,05/05/16,23,26,26,101.4,7pm,Trinity,,
2015,10/05/16,24,30,31,119,6pm,Sugden,,
2015,12/05/16,24,27,27,105.3,7pm,Trinity,,
2015,17/05/16,25,29,29,113.1,6pm,Sugden,,
2015,19/05/16,25,17,17,66.3,7pm,Trinity,,
2015,24/05/16,26,29,29,113.1,6pm,Academy2,Time Change,
2015,26/05/16,26,33,0,0,8pm,Trinity,Grading,
2015,31/05/16,27,17,17,66.3,6pm,Academy2,Time Change,
2015,02/06/16,27,0,0,0,7pm,Trinity,No Class,
2016,27/09/16,1,230,0,0,6.30pm,Sugden,First Class,
2016,29/09/16,1,160,0,0,7pm,Trinity,,
2016,04/10/16,2,101,72,280.8,6.30pm,Sugden,,
2016,06/10/16,2,80,67,261.3,7pm,Trinity,,
2016,11/10/16,3,128,112,436.8,6.30pm,Sugden,,
2016,13/10/16,3,71,61,237.9,7pm,Trinity,,
2016,18/10/16,4,103,82,319.8,6.30pm,Sugden,,
2016,20/10/16,4,74,56,218.4,7pm,Trinity,,
2016,25/10/16,5,81,62,241.8,6.30pm,Sugden,,
2016,27/10/16,5,47,36,140.4,7pm,Trinity,,
2016,01/11/16,6,48,40,156,6.30pm,Sugden,,
2016,03/11/16,6,27,20,78,7pm,Trinity,,
2016,08/11/16,7,67,56,218.4,6.30pm,Sugden,,
2016,10/11/16,7,0,0,0,7pm,Trinity,No Class,
2016,15/11/16,8,76,60,234,6.30pm,Sugden,,
2016,17/11/16,8,46,43,167.7,7pm,Trinity,,
2016,22/11/16,9,78,66,257.4,6.30pm,Sugden,,
2016,24/11/16,9,45,38,148.2,7pm,Trinity,,
2016,29/11/16,10,66,54,210.6,6.30pm,Sugden,,
2016,01/12/16,10,38,33,128.7,7pm,Trinity,,
2016,06/12/16,11,0,0,0,6.30pm,Sugden,Grading,
2016,08/12/16,11,0,0,0,7pm,Trinity,,
2016,10/01/17,12,28,28,109.2,6.30pm,Sugden,First Class,
2016,12/01/17,12,15,12,46.8,7pm,Trinity,,
2016,17/01/17,13,23,22,85.8,6.30pm,Sugden,,
2016,19/01/17,13,25,20,78,7pm,Trinity,,
2016,24/01/17,14,37,29,113.1,6.30pm,Sugden,,
2016,26/01/17,14,0,0,0,7pm,Trinity,No Class,
2016,31/01/17,15,75,68,265.2,6.30pm,Sugden,,
2016,02/02/17,15,37,37,144.3,7pm,Trinity,,
2016,07/02/17,16,51,51,198.9,6.30pm,Sugden,,
2016,09/02/17,16,46,38,148.2,7pm,Trinity,,
2016,14/02/17,17,63,58,226.2,6.30pm,Sugden,,
2016,16/02/17,17,42,36,140.4,7pm,Trinity,,
2016,21/02/17,18,65,58,226.2,6.30pm,Sugden,,
2016,23/02/17,18,36,30,117,7pm,Trinity,,
2016,28/02/17,19,68,58,226.2,6.30pm,Sugden,,
2016,02/03/17,19,41,32,124.8,7pm,Trinity,,
2016,07/03/17,20,59,47,183.3,6.30pm,Sugden,,
2016,09/03/17,20,34,34,132.6,7pm,Trinity,,
2016,14/03/17,21,60,49,191.1,6.30pm,Sugden,,
2016,16/03/17,21,39,22,85.8,7pm,Trinity,,
2016,21/03/17,22,31,27,105.3,6.30pm,Sugden,Grading,
2016,23/03/17,22,29,24,93.6,7pm,Trinity,,
2016,28/03/17,23,40,25,97.5,6.30pm,Sugden,,
2016,30/03/17,23,25,22,85.8,7pm,Trinity,,
2016,25/04/17,24,41,34,132.6,6.30pm,Sugden,First Class,
2016,27/04/17,24,26,24,93.6,7pm,Trinity,,
2016,02/05/17,25,44,34,132.6,6.30pm,Sugden,,
2016,04/05/17,25,20,20,78,7pm,Trinity,,
2016,09/05/17,26,38,38,148.2,6.30pm,Sugden,,
2016,11/05/17,26,16,16,62.4,7pm,Trinity,,
2016,16/05/17,27,29,29,113.1,6.30pm,Sugden,,
2016,18/05/17,27,26,26,101.4,7pm,Trinity,,
2016,23/05/17,28,0,0,0,6.30pm,Sugden,Grading,
2016,25/05/17,28,0,0,0,7pm,Trinity,Grading,
2016,30/05/17,29,3,3,11.7,6.30pm,Sugden,,
2016,01/06/17,29,9,9,35.1,7pm,Trinity,,
